x,y,yaw,curvature,target_speed,lookahead
0.623846,0.064128,1.386789,6.990253,0.447525,0.450000
0.715825,0.127824,0.071305,6.838657,0.452458,0.450000
0.857152,0.080792,-0.322297,0.013888,1.200000,0.960000
0.999152,0.033209,-0.281178,0.562031,1.200000,0.960000
1.144847,-0.002303,-0.228640,0.139205,1.200000,0.960000
1.291289,-0.034774,-0.213974,0.056382,1.200000,0.960000
1.437999,-0.066005,-0.204553,0.069231,1.200000,0.960000
1.585026,-0.095711,-0.196069,0.043892,1.200000,0.960000
1.732248,-0.124449,-0.191826,0.012671,1.200000,0.960000
1.879522,-0.152906,-0.185804,0.067628,1.200000,0.960000
2.027079,-0.179869,-0.166012,0.196264,1.200000,0.960000
2.175363,-0.202476,-0.137777,0.180202,1.200000,0.960000
2.324196,-0.221066,-0.112172,0.161201,1.200000,0.960000
2.473433,-0.236052,-0.090161,0.132291,1.200000,0.960000
2.622941,-0.248074,-0.071967,0.110309,1.200000,0.960000
2.772631,-0.257621,-0.056128,0.100890,1.200000,0.960000
2.922454,-0.264903,-0.043619,0.065891,1.200000,0.960000
3.072342,-0.270703,-0.041737,0.040787,1.200000,0.960000
3.222191,-0.277420,-0.046120,0.017653,1.200000,0.960000
3.372023,-0.284534,-0.040586,0.091436,1.200000,0.960000
3.521929,-0.289592,-0.023471,0.136781,1.200000,0.960000
3.671903,-0.291574,-0.005239,0.106309,1.200000,0.960000
3.821901,-0.291164,0.005274,0.033881,1.200000,0.960000
3.971897,-0.289991,0.005305,0.033465,1.200000,0.960000
4.121896,-0.289572,0.001289,0.020090,1.200000,0.960000
4.271896,-0.289605,0.002671,0.038520,1.200000,0.960000
4.421893,-0.288771,0.008222,0.035497,1.200000,0.960000
4.571883,-0.287138,0.013404,0.033594,1.200000,0.960000
4.721864,-0.284750,0.019851,0.052370,1.200000,0.960000
4.871818,-0.281183,0.030506,0.089693,1.200000,0.960000
5.021710,-0.275600,0.045483,0.110009,1.200000,0.960000
5.171492,-0.267544,0.063590,0.131414,1.200000,0.960000
5.321088,-0.256537,0.083001,0.127396,1.200000,0.960000
5.470440,-0.242674,0.102310,0.130069,1.200000,0.960000
5.619489,-0.225900,0.121533,0.126240,1.200000,0.960000
5.768195,-0.206307,0.139625,0.114999,1.200000,0.960000
5.916545,-0.184152,0.155966,0.102892,1.200000,0.960000
6.064536,-0.159710,0.171551,0.104911,1.200000,0.960000
6.212126,-0.132941,0.187625,0.109405,1.200000,0.960000
6.359258,-0.103754,0.204164,0.111108,1.200000,0.960000
6.505884,-0.072119,0.221877,0.125069,1.200000,0.960000
6.651890,-0.037739,0.244193,0.172474,1.200000,0.960000
