x,y,yaw,curvature,target_speed,lookahead
0.610902,-0.111828,0.199537,0.687961,2.000000,1.400000
0.753567,-0.069358,0.114586,2.332101,2.000000,1.400000
0.902405,-0.078279,-0.124566,0.862249,2.000000,1.400000
1.049704,-0.106439,-0.150671,0.509774,2.000000,1.400000
1.198679,-0.123260,-0.069391,0.573868,2.000000,1.400000
1.348602,-0.127213,-0.004487,0.291611,2.191099,1.400000
1.498578,-0.124606,0.022941,0.074128,2.571189,1.400000
1.648517,-0.120331,0.030981,0.033069,2.476088,1.400000
1.798430,-0.115313,0.043910,0.139339,2.377188,1.400000
1.948193,-0.107164,0.074665,0.270737,2.273999,1.400000
2.097498,-0.092942,0.115620,0.275327,2.254965,1.400000
2.246102,-0.072565,0.145355,0.121152,3.024739,1.400000
2.394316,-0.049491,0.149767,0.062314,2.944324,1.400000
2.542735,-0.027804,0.134148,0.145945,2.861654,1.400000
2.691595,-0.009371,0.114257,0.119264,2.776522,1.400000
2.840763,0.006397,0.102964,0.031321,2.688694,1.400000
2.990004,0.021463,0.106587,0.079640,2.597899,1.400000
3.139049,0.038311,0.126190,0.181741,2.503816,1.400000
3.287574,0.059214,0.157958,0.241832,2.406062,1.400000
3.435242,0.085490,0.193795,0.235993,2.435650,1.400000
3.581895,0.116977,0.222893,0.151996,2.433080,1.400000
3.727797,0.151800,0.235229,0.012482,2.332355,1.400000
3.873630,0.186896,0.226009,0.135420,2.227081,1.400000
4.020138,0.219021,0.195970,0.265133,2.116583,1.400000
4.167796,0.245293,0.148316,0.370292,2.000000,1.400000
4.316675,0.263327,0.088105,0.432556,2.000000,1.400000
4.466407,0.271671,0.022302,0.444858,2.000000,1.400000
4.616360,0.270012,-0.046785,0.476434,2.000000,1.400000
4.765786,0.257654,-0.128339,0.611224,2.000000,1.400000
4.913403,0.231679,-0.232505,0.777987,2.000000,1.400000
5.056970,0.188705,-0.349350,0.780098,2.000000,1.400000
5.194589,0.129245,-0.448698,0.544712,2.000000,1.400000
5.326960,0.058719,-0.501359,0.157603,2.227023,1.400000
5.457629,-0.014919,-0.491665,0.287024,2.116521,1.400000
5.591261,-0.082822,-0.415547,0.728773,2.000000,1.400000
5.731356,-0.135698,-0.284339,1.021956,2.000000,1.400000
5.877825,-0.166573,-0.132528,1.003353,2.000000,1.400000
6.027377,-0.175161,-0.002413,0.732644,2.000000,1.400000
6.177099,-0.167295,0.082883,0.405221,2.000000,1.400000
6.326126,-0.150343,0.124481,0.149544,2.605923,1.400000
6.474747,-0.130051,0.136732,0.013818,2.512137,1.400000
6.623325,-0.109451,0.138965,0.015951,2.414712,1.400000
6.771851,-0.088496,0.150295,0.135126,2.313189,1.400000
6.919905,-0.064538,0.181004,0.274383,2.207014,1.400000
7.066835,-0.034512,0.225492,0.318833,2.095475,1.400000
7.212169,0.002505,0.272032,0.301785,2.116574,1.400000
7.355669,0.046058,0.326397,0.423424,2.000000,1.400000
7.496022,0.098591,0.418655,0.808580,2.000000,1.400000
7.628732,0.167560,0.577610,1.316354,2.000000,1.400000
7.745068,0.260909,0.797971,1.630234,2.000000,1.400000
7.835360,0.379450,1.035874,1.550974,2.000000,1.400000
7.896107,0.515806,1.238830,1.162959,2.000000,1.400000
7.932418,0.661003,1.378229,0.699979,2.000000,1.400000
7.953360,0.809438,1.458154,0.366931,2.000000,1.400000
7.966113,0.958869,1.504728,0.254270,2.205944,1.400000
7.973159,1.108675,1.547727,0.319177,2.094345,1.400000
7.973029,1.258613,1.602537,0.411811,2.000000,1.400000
7.963648,1.408237,1.664468,0.414159,2.000000,1.400000
7.944996,1.557010,1.722827,0.364187,2.000000,1.400000
7.918248,1.704556,1.778046,0.372302,2.000000,1.400000
7.883313,1.850360,1.842465,0.487023,2.000000,1.400000
7.837855,1.993162,1.930978,0.694223,2.000000,1.400000
7.777868,2.130346,2.054027,0.948873,2.000000,1.400000
7.699155,2.257492,2.210935,1.147131,2.000000,1.400000
7.599950,2.369239,2.384384,1.170060,2.000000,1.400000
7.482739,2.462038,2.548376,1.020790,2.000000,1.400000
7.352628,2.535990,2.685087,0.805038,2.000000,1.400000
7.214436,2.593803,2.790797,0.606029,2.000000,1.400000
7.071484,2.638869,2.870442,0.456614,2.000000,1.400000
6.925738,2.674060,2.932376,0.369507,2.000000,1.400000
6.778249,2.701129,2.987027,0.359361,2.000000,1.400000
6.629522,2.720213,3.045229,0.416886,2.000000,1.400000
6.479918,2.729967,3.112326,0.478030,2.000000,1.400000
6.330017,2.728981,-3.100696,0.457765,2.000000,1.400000
6.180515,2.717716,-3.041473,0.332106,2.053174,1.400000
6.031715,2.699015,-3.003793,0.170426,2.866133,1.400000
5.883417,2.676514,-2.986679,0.057792,2.823186,1.400000
5.735315,2.652728,-2.980427,0.025571,2.736856,1.400000
5.587306,2.628374,-2.973759,0.063335,2.647712,1.400000
5.439537,2.602615,-2.957949,0.147479,2.555463,1.400000
5.292385,2.573596,-2.929536,0.231388,2.459763,1.400000
5.146341,2.539492,-2.894408,0.237008,2.430428,1.400000
5.001595,2.500217,-2.868008,0.115022,2.351200,1.400000
4.857529,2.458445,-2.865749,0.084892,2.246808,1.400000
4.712954,2.418514,-2.891444,0.257765,2.137331,1.400000
4.566971,2.384208,-2.936453,0.342440,2.021957,1.400000
4.419431,2.357442,-2.988646,0.353589,2.000000,1.400000
4.270677,2.338534,-3.040162,0.333430,2.049092,1.400000
4.121157,2.327084,-3.087902,0.303228,2.148718,1.400000
3.971263,2.322443,-3.129830,0.255883,2.339071,1.400000
3.821289,2.323556,3.122345,0.157635,2.332338,1.400000
3.671366,2.328216,3.112628,0.028051,2.227064,1.400000
3.521426,2.332244,3.134419,0.262572,2.116562,1.400000
3.371490,2.330367,-3.098187,0.411971,2.000000,1.400000
3.221983,2.319239,-3.038259,0.387222,2.000000,1.400000
3.073344,2.299448,-2.991026,0.242698,2.401765,1.400000
2.925487,2.274256,-2.965136,0.102569,3.073138,1.400000
2.778024,2.246790,-2.952445,0.066659,2.994024,1.400000
2.630845,2.217851,-2.937509,0.132489,2.912763,1.400000
2.484279,2.185995,-2.915079,0.166587,2.829174,1.400000
2.338553,2.150487,-2.899098,0.046504,2.743038,1.400000
2.193069,2.113960,-2.906256,0.141955,2.654103,1.400000
2.046858,2.080544,-2.932897,0.213274,2.562093,1.400000
1.899652,2.051821,-2.960534,0.155234,3.003108,1.400000
1.751805,2.026530,-2.979631,0.099420,3.417564,1.400000
1.603595,2.003447,-2.994000,0.092170,3.346603,1.400000
1.455080,1.982415,-3.006338,0.072336,3.274105,1.400000
1.306344,1.962996,-3.013004,0.016537,3.199964,1.400000
1.157559,1.943945,-3.012682,0.020823,3.124063,1.400000
1.008834,1.924430,-3.011199,0.001046,3.046272,1.400000
0.860106,1.904938,-3.015087,0.050793,2.966441,1.400000
0.711236,1.886580,-3.024335,0.072522,2.884403,1.400000
0.562175,1.869842,-3.034141,0.058221,2.799962,1.400000
0.412972,1.854407,-3.042386,0.051715,2.712893,1.400000
0.263654,1.840129,-3.051828,0.074181,2.622936,1.400000
0.114189,1.827514,-3.063184,0.077234,2.529783,1.400000
-0.035414,1.816632,-3.070401,0.018984,2.433066,1.400000
-0.185048,1.806175,-3.066540,0.070467,2.332340,1.400000
-0.334559,1.794138,-3.049662,0.154582,2.227067,1.400000
-0.483741,1.778638,-3.019151,0.252283,2.116572,1.400000
-0.632206,1.757510,-2.970875,0.391577,2.000000,1.400000
-0.779126,1.727715,-2.899618,0.559026,2.000000,1.400000
-0.922961,1.685749,-2.800521,0.763567,2.000000,1.400000
-1.060941,1.627687,-2.662753,1.076798,2.000000,1.400000
-1.187573,1.548379,-2.470763,1.490485,2.000000,1.400000
-1.293278,1.443303,-2.228032,1.755307,2.000000,1.400000
-1.368095,1.314447,-1.975969,1.614654,2.000000,1.400000
-1.410030,1.171094,-1.765768,1.195631,2.000000,1.400000
-1.425804,1.022222,-1.616753,0.794936,2.000000,1.400000
-1.423768,0.872360,-1.515413,0.557428,2.000000,1.400000
-1.409222,0.723131,-1.435607,0.507026,2.000000,1.400000
-1.383380,0.575433,-1.349476,0.641661,2.000000,1.400000
-1.343477,0.430941,-1.232588,0.917272,2.000000,1.400000
-1.284171,0.293367,-1.075607,1.176075,2.000000,1.400000
-1.201676,0.168380,-0.893837,1.247237,2.000000,1.400000
-1.097336,0.060881,-0.711545,1.182835,2.000000,1.400000
-0.975591,-0.026555,-0.535403,1.164668,2.000000,1.400000
-0.840449,-0.091504,-0.357244,1.208967,2.000000,1.400000
-0.695798,-0.130990,-0.187730,1.049244,2.000000,1.400000
-0.546729,-0.147301,-0.057588,0.685018,2.000000,1.400000
-0.396738,-0.148231,0.011754,0.239422,2.418144,1.400000
-0.246805,-0.143775,0.023741,0.079603,2.433095,1.400000
-0.096832,-0.141110,0.004004,0.183553,2.332373,1.400000
0.053160,-0.142574,-0.019125,0.124825,2.227099,1.400000
0.203099,-0.146846,-0.025938,0.033988,2.116594,1.400000
0.353048,-0.150354,0.085660,0.834875,2.000000,1.400000
