x,y,yaw
0.347344,0.142343,-0.005817
0.525151,0.151334,-0.000229
0.714820,0.150268,-0.014797
0.868758,0.148044,-0.026608
0.725148,0.100533,-0.095985
0.877599,0.038256,-0.157293
1.044989,0.012882,-0.151793
1.205621,0.001401,-0.165738
1.352556,-0.061586,-0.149908
1.514238,-0.086513,-0.138955
1.691075,-0.108802,-0.112835
1.847917,-0.146600,-0.099900
2.047005,-0.198968,-0.065809
2.205997,-0.205923,-0.063524
2.359107,-0.232037,-0.048087
2.516623,-0.244915,-0.042845
2.768177,-0.260866,-0.037113
2.932388,-0.272131,-0.035061
3.090597,-0.265871,-0.038272
3.256689,-0.270861,-0.042731
3.411168,-0.298497,-0.046421
3.601784,-0.299104,-0.033267
3.772358,-0.290821,-0.027255
3.957360,-0.288228,-0.015593
4.131770,-0.283331,-0.009226
4.296659,-0.299524,0.002893
4.490752,-0.285850,-0.007390
4.649259,-0.284568,0.007640
4.828009,-0.287914,0.021952
4.996061,-0.280401,0.027222
5.152797,-0.271085,0.047510
5.342018,-0.259247,0.072486
5.535048,-0.243386,0.098239
5.714291,-0.217387,0.107921
5.874318,-0.192280,0.130816
6.034176,-0.168797,0.135261
6.198929,-0.138357,0.150473
6.352060,-0.108726,0.157166
6.514599,-0.071546,0.190266
6.663589,-0.039440,0.201958
6.816449,-0.001065,0.234097
6.970839,0.044204,0.265156
7.118079,0.098175,0.312548
7.263420,0.156229,0.372157
7.404006,0.228084,0.447739
7.548496,0.328884,0.543854
7.677756,0.437956,0.639930
7.785750,0.556747,0.736592
7.887187,0.679939,0.844859
7.969134,0.813556,0.957861
8.031718,0.974888,1.073287
8.072801,1.140124,1.189132
8.087881,1.294725,1.295699
8.106995,1.454204,1.395558
8.091920,1.616710,1.498783
8.075733,1.786318,1.593073
8.044836,1.937005,1.692534
8.001464,2.085303,1.829314
7.932341,2.221826,1.951518
7.820818,2.365348,2.119245
7.704038,2.471174,2.271770
7.511337,2.583474,2.489288
7.362046,2.637489,2.622923
7.193939,2.652559,2.765329
7.043347,2.661484,2.861855
6.809509,2.667155,2.990026
6.654527,2.654398,3.069050
6.480561,2.634781,-3.139244
6.326932,2.611244,-3.077800
6.104137,2.574652,-3.045614
5.880653,2.544376,-3.015903
5.734699,2.504784,-3.008241
5.580454,2.486600,-3.020565
5.429494,2.479078,-3.018200
5.266097,2.459414,-3.005312
5.095519,2.441255,-2.996362
4.918294,2.406800,-2.954633
4.763133,2.370644,-2.958785
4.613720,2.341882,-2.977277
4.459382,2.322157,-3.022761
4.288732,2.310871,-3.042767
4.125716,2.304728,-3.075915
3.964652,2.300776,-3.102790
3.780034,2.303690,-3.136689
3.624358,2.316945,3.140882
3.455220,2.329613,3.131994
3.282704,2.339541,3.122693
3.073297,2.345483,3.135739
2.779185,2.358095,-3.019422
2.621493,2.330192,-3.001188
2.464104,2.290810,-2.965168
2.288730,2.249949,-2.926516
2.139385,2.213911,-2.904849
1.988039,2.163714,-2.875508
1.832249,2.124055,-2.857406
1.700843,2.041628,-2.805783
1.518875,1.945113,-2.785020
1.371207,1.877449,-2.803634
1.213073,1.832948,-2.823638
1.042907,1.790508,-2.853662
0.886439,1.749424,-2.890653
0.730022,1.716557,-2.919883
0.555496,1.688943,-2.943655
0.388540,1.665894,-2.965730
0.222572,1.642007,-2.994666
0.055140,1.638682,-3.047119
-0.153095,1.623577,-3.047577
-0.342384,1.622801,-3.056348
-0.499812,1.613290,-3.032170
-0.650521,1.598366,-2.974065
-0.796291,1.548911,-2.857486
-0.931274,1.452287,-2.705127
-1.043376,1.335204,-2.553790
-1.139142,1.210527,-2.403497
-1.232010,1.073730,-2.245862
-1.293347,0.908774,-2.085585
-1.325933,0.751052,-1.936846
-1.324456,0.580357,-1.774973
-1.308034,0.387760,-1.593223
-1.242764,0.249333,-1.429923
-1.209315,0.093024,-1.300350
-1.078573,-0.080780,-1.113399
-0.948072,-0.217288,-0.945420
-0.746625,-0.344533,-0.722225
-0.606029,-0.411414,-0.591280
-0.446314,-0.457673,-0.453701
-0.295753,-0.467509,-0.316539
-0.069167,-0.452672,-0.135737
0.086059,-0.415328,-0.007218
0.243142,-0.378694,0.122920
0.472436,-0.285393,0.276646
0.653346,-0.210910,0.338952
0.785425,-0.121928,0.354390
0.937266,-0.044860,0.209917
