x,y,yaw
0.526875,-0.135000,1.778561
0.662917,-0.070833,0.556211
0.775248,0.019409,-0.036031
0.883001,-0.078766,-0.548779
1.023222,-0.132209,-0.200654
1.173671,-0.137886,-0.001587
1.324121,-0.132686,0.043321
1.474470,-0.124847,0.046586
1.624894,-0.118665,0.023646
1.775394,-0.117730,0.004694
1.925897,-0.117251,0.036317
2.075836,-0.106814,0.123567
2.224010,-0.080226,0.193109
2.371286,-0.049040,0.182633
2.520000,-0.025559,0.135877
2.669540,-0.008263,0.104114
2.819428,0.005728,0.086891
2.969493,0.017866,0.083619
3.119485,0.030878,0.106563
3.268836,0.049886,0.145906
3.417325,0.074645,0.192910
3.564178,0.107578,0.242165
3.709504,0.146817,0.263439
3.854868,0.185979,0.250439
4.001153,0.221424,0.218487
4.148712,0.251221,0.173165
4.297643,0.273285,0.104049
4.447890,0.282463,0.019073
4.598322,0.279020,-0.037447
4.748669,0.271195,-0.074027
4.898470,0.256761,-0.179206
5.042735,0.217925,-0.345444
5.179204,0.155732,-0.493231
5.306875,0.075937,-0.568168
5.432988,-0.006281,-0.569534
5.560310,-0.086340,-0.516085
5.694480,-0.154644,-0.356559
5.840326,-0.190640,-0.136630
5.990095,-0.195288,0.032637
6.139738,-0.180865,0.123145
6.288585,-0.158343,0.156002
6.437174,-0.134084,0.154516
6.586088,-0.112005,0.131513
6.735604,-0.094608,0.110464
6.885302,-0.078818,0.134634
7.033587,-0.054246,0.221292
7.178339,-0.012891,0.294334
7.321701,0.033093,0.284235
7.467269,0.071518,0.294813
7.609502,0.120487,0.436427
7.736702,0.197188,0.685348
7.836830,0.306338,0.960718
7.905953,0.439308,1.220360
7.939114,0.586167,1.412444
7.953292,0.735754,1.490802
7.963150,0.885987,1.500683
7.974386,1.036113,1.493978
7.986250,1.186111,1.540256
7.983563,1.336500,1.645025
7.963967,1.485758,1.721212
7.938453,1.634135,1.749889
7.910333,1.782025,1.784819
7.874541,1.928182,1.849825
7.827511,2.071103,1.940138
7.766126,2.208248,2.083098
7.681163,2.331332,2.286282
7.571075,2.432674,2.486855
7.444388,2.513105,2.643829
7.307779,2.575750,2.763518
7.165253,2.623972,2.848486
7.019764,2.662672,2.912907
6.872131,2.692199,2.959636
6.723680,2.717149,2.993437
6.574433,2.736630,3.048129
6.424408,2.745202,3.133153
6.274151,2.739164,-3.050535
6.125108,2.717873,-2.985121
5.976759,2.692247,-2.972805
5.828290,2.667292,-2.979368
5.679607,2.643615,-2.984835
5.530870,2.620283,-2.984121
5.382224,2.596395,-2.971309
5.234177,2.569267,-2.930316
5.087988,2.533288,-2.860056
4.945157,2.485677,-2.815082
4.802788,2.436710,-2.834686
4.658286,2.394762,-2.895281
4.511143,2.363386,-2.960076
4.362386,2.340453,-3.013495
4.212698,2.324945,-3.063656
4.062404,2.317026,-3.111247
3.911875,2.315814,3.131063
3.761417,2.320196,3.089489
3.611286,2.331490,3.057886
3.461371,2.345371,3.108104
3.310934,2.341552,-3.062096
3.162058,2.321526,-2.982444
3.014070,2.293904,-2.942858
2.866914,2.262086,-2.944573
2.718870,2.234979,-2.971277
2.570225,2.211061,-2.964167
2.422838,2.181897,-2.882910
2.280049,2.134277,-2.827784
2.136837,2.089081,-2.898247
1.988837,2.061979,-2.982394
1.839720,2.041376,-2.986108
1.691428,2.015360,-2.970769
1.542991,1.990189,-2.997099
1.393592,1.972023,-3.030099
1.243819,1.956694,-3.028445
1.094468,1.938032,-3.003478
0.945646,1.915248,-2.994414
0.796630,1.893878,-3.012516
0.647101,1.876498,-3.038000
0.497175,1.862745,-3.047076
0.347337,1.848080,-3.033691
0.197836,1.830320,-3.044807
0.047707,1.818990,-3.085134
-0.102735,1.813332,-3.093619
-0.253018,1.804552,-3.069866
-0.403006,1.791758,-3.045668
-0.552702,1.775716,-3.028780
-0.702177,1.757864,-2.974475
-0.849255,1.725690,-2.877286
-0.992137,1.679389,-2.785574
-1.130520,1.621098,-2.670684
-1.259424,1.543311,-2.442103
-1.356647,1.430831,-2.129712
-1.414394,1.295534,-1.854276
-1.439198,1.147468,-1.661142
-1.441445,0.996929,-1.548651
-1.432537,0.846734,-1.484426
-1.415499,0.697267,-1.431182
-1.390670,0.548807,-1.377693
-1.357742,0.401896,-1.275346
-1.303297,0.261735,-1.074848
-1.216163,0.140224,-0.851606
-1.106971,0.037525,-0.684087
-0.984332,-0.048821,-0.543253
-0.850870,-0.117124,-0.373132
-0.705916,-0.157813,-0.162059
-0.555763,-0.165372,0.019785
-0.406037,-0.151879,0.090996
-0.256133,-0.138031,0.055785
-0.105609,-0.135102,-0.000773
0.044913,-0.138264,-0.039316
0.195219,-0.146936,-0.053291
0.345594,-0.154303,-0.037847
0.496078,-0.158328,-0.012696
0.646576,-0.158124,0.106203
0.677289,-0.139010,2.950759
